track,duration_sec,loudness_LUFS,spectral_centroid_Hz,transient_density,spectral_flatness,lexical_diversity,readability,sentiment
_Slut!_ (Taylor's Version) (From The Vault).wav,185.8060625,-22.767214514019788,1247.9111744734107,4.332474350776364,0.043176197,0.3877159309021113,22.220885496183243,0.5536962151527405
All You Had To Do Was Stay (Taylor's Version).wav,198.4145,-18.31827126236129,2272.9754881957524,5.569149432123156,0.07487732,0.22518518518518518,23.24649298916509,-0.933746337890625
Bad Blood (Taylor's Version).wav,216.2706875,-19.547203050459263,1991.3847403369682,4.739430996630091,0.0655775,0.26138032305433184,31.285190562613465,-0.9928129315376282
Blank Space (Taylor's Version).wav,237.0293125,-19.36680517601127,2220.8784518470975,3.003847889066463,0.0861566,0.3338008415147265,40.75081377151801,0.9877122044563293
Clean (Taylor's Version).wav,276.5264375,-19.96181618296798,1187.0053458368172,3.9272917621122576,0.031940095,0.38222222222222224,-91.65217391304346,-0.9952707886695862
How You Get The Girl (Taylor's Version).wav,252.6563125,-18.71082021959555,2107.980893091517,3.7204690858456186,0.08015079,0.2459016393442623,-12.14749999999998,-0.9939302206039429
I Know Places (Taylor's Version).wav,200.8758125,-18.566387791306607,1986.8454360834467,3.858105116563001,0.070166305,0.3492723492723493,-88.87640243902436,-0.9632887244224548
I Wish You Would (Taylor's Version).wav,212.7876875,-18.644300087314953,2027.0680825062045,4.4034502701196,0.0802851,0.18076109936575052,-133.4845787545787,0.8588470220565796
Is It Over Now_ (Taylor's Version) (From The Vault).wav,234.6144375,-19.371777261569267,1513.5876957646256,3.1157502828443793,0.050251886,0.33073322932917315,68.19617647058826,0.9758516550064087
New Romantics (Taylor's Version).wav,235.311,-18.928037070110573,2182.330767696385,3.90971947762748,0.09428992,0.29952456418383516,-75.80772455089819,0.9820209741592407
Now That We Don't Talk (Taylor's Version) (From The Vault).wav,151.556625,-20.156169503496105,1337.1020154531989,5.014627371122839,0.055047937,0.48661800486618007,15.999590707964629,0.9919641017913818
Out Of The Woods (Taylor's Version).wav,241.1856875,-18.920933570576494,1806.806945536813,2.3467395842052197,0.061508134,0.186558516801854,99.00201864820207,0.9200920462608337
Say Don't Go (Taylor's Version) (From The Vault).wav,285.3500625,-19.751170525159342,1422.1407231036405,3.739266747138,0.036024123,0.23017902813299232,75.94271222261362,0.9932177662849426
Shake It Off (Taylor's Version).wav,224.1886875,-18.710889000158847,2117.938964960155,2.78336970057867,0.08405912,0.20842824601366744,-102.20975609756096,0.9819998741149902
Style (Taylor's Version).wav,235.5664375,-17.038676820130526,1776.4770060422327,7.271833874891452,0.05148734,0.3563218390804598,-118.3993150684931,0.9788105487823486
Suburban Legends (Taylor's Version) (From The Vault).wav,177.0521875,-20.15547253115757,1372.995483638847,4.987230106942339,0.04662393,0.4613466334164589,-28.841779661016915,0.9995520710945129
This Love (Taylor_s Version).wav,247.5711875,-21.208100232715964,1722.655403665592,4.047320732748838,0.018307686,0.27385159010600707,-114.82583333333329,0.9788814783096313
Welcome To New York (Taylor's Version).wav,217.7335,-18.47015657845697,1962.9672159725017,2.2550503252829723,0.061587576,0.2892561983471074,-38.93371116708646,-0.9848974347114563
Wildest Dreams (Taylor's Version).wav,226.0230625,-20.11350059494204,1550.0490385066166,2.6767180008455993,0.05256293,0.3466666666666667,-39.65058823529411,0.8801785707473755
Wonderland (Taylor's Version).wav,250.682625,-19.21277366978498,2145.741122381345,4.3521165457717705,0.06851167,0.28183118741058655,49.493636363636355,-0.8972273468971252
You Are In Love (Taylor's Version).wav,272.509375,-21.75864618374337,1474.7754871193142,2.932009219866289,0.04927536,0.3074380165289256,-48.66166666666665,-0.9960850477218628
