track,duration_sec,transient_density,HNR,LUFS,tonal_dissonance,spectral_flux,jitter,shimmer,rhythmic_complexity
All You Had To Do Was Stay (Taylor's Version).wav,198.41451247165534,4.717396869514335,-25.954186424185362,-17.908996026355336,0.27162838,0.21168509,22.432258472871222,0.02846520215794445,0.11206773419278854
Bad Blood (Taylor's Version).wav,216.27065759637188,3.3754001033390595,-26.844655224622247,-19.381205732605007,0.2834818,0.15723701,22.40935421264513,0.02842931225337558,0.18602481122960018
Blank Space (Taylor's Version).wav,237.0292970521542,2.5355515435197886,-22.851335276858347,-19.096350456316884,0.2832406,0.1877118,22.581861452872193,0.03044016127497185,0.27203087713195007
Clean (Taylor's Version).wav,276.52643990929704,2.7592298235578134,-29.16021647493148,-19.904359568825708,0.26995406,0.10616254,16.48877097081314,0.02139177119653724,0.24353568797811154
How You Get The Girl (Taylor's Version).wav,252.65632653061223,2.7784778225806455,-38.94953807500905,-18.5459376685081,0.27804106,0.18153726,21.415916496553187,0.027366757999102816,0.23641979618044073
I Know Places (Taylor's Version).wav,200.87582766439908,2.538881885042192,-20.485789061038147,-18.31083446160298,0.2645756,0.18393342,16.51729454813319,0.02432401191197235,0.2604286562325077
I Wish You Would (Taylor's Version).wav,212.78766439909296,4.671323419085552,-20.05860228485556,-18.471330020918195,0.27270505,0.20308028,18.338129430442983,0.02726605185674891,0.14822144679883884
Is It Over Now_ (Taylor's Version) (From The Vault).wav,234.61442176870747,3.3160791827494065,-37.54209301052038,-19.171899974961537,0.26460645,0.16213806,18.09543914766644,0.02714924732992999,0.24847546934798964
New Romantics (Taylor's Version).wav,235.31102040816327,2.6815573656749554,-26.618781848503343,-18.559896015601623,0.27958536,0.21427308,18.092079278902688,0.026669712783858168,0.6541163844203103
Now That We Don't Talk (Taylor's Version) (From The Vault).wav,151.5566439909297,4.381200206833155,-34.94978011106451,-20.031240551776964,0.26195505,0.11368893,18.82003503603385,0.023825322088969692,0.12534521673771354
Out Of The Woods (Taylor's Version).wav,241.18566893424037,2.4130786981322805,-16.774453590821548,-18.786510113847687,0.2694943,0.2040074,21.52188677855308,0.030280128103077328,0.3959240059142789
Say Don't Go (Taylor's Version) (From The Vault).wav,285.35002267573697,3.665673442712995,-38.16573335222421,-19.656290480814807,0.27496758,0.122392766,21.065752531277887,0.028537014572613116,0.1944701039697404
Shake It Off (Taylor's Version).wav,224.18866213151927,3.461370403935785,-20.858464605381958,-18.52132671895739,0.2810759,0.21348928,24.050207428869978,0.02943467910090402,0.14943639003969286
Style (Taylor's Version).wav,235.56643990929706,5.115329672868408,-25.125636485867037,-16.87438375468835,0.25495622,0.20714384,16.83912154222658,0.02304268814004674,0.07986161837085996
Suburban Legends (Taylor's Version) (From The Vault).wav,177.05215419501133,4.67094006147541,-23.810130585218204,-20.01108181733607,0.24286407,0.13011706,16.496749430934052,0.02796755646278009,0.10996127470507411
This Love (Taylor_s Version).wav,247.57115646258504,3.0011573666994935,-3.014341198769967,-20.907276950049486,0.28708905,0.12242004,14.783615973684944,0.02199968334942139,0.21922120165555317
Welcome To New York (Taylor's Version).wav,217.73351473922904,1.6717683560840353,-23.18456849423283,-18.28247644703727,0.27608714,0.18496895,23.905310599617312,0.02825877034466978,0.5056627839263566
Wildest Dreams (Taylor's Version).wav,226.02303854875282,2.5130181580028768,-29.9438612349063,-20.01668999839541,0.2653666,0.13779315,21.821683661973736,0.030338661428294965,0.34035888116388496
Wonderland (Taylor's Version).wav,250.68263038548753,3.574240459429418,-14.78857789769386,-19.01720412597091,0.27539375,0.17789678,16.384804843004694,0.023311027202269182,0.2125904048724148
You Are In Love (Taylor's Version).wav,272.50938775510207,3.6402415644171775,-32.70729854704524,-21.616115408322486,0.30411398,0.1002328,13.402587613246757,0.022073264896052425,0.18411124083984826
_Slut!_ (Taylor's Version) (From The Vault).wav,185.80607709750566,3.934209318764059,-42.47109571618431,-22.66408954105594,0.27696875,0.08331316,17.409629337128305,0.026137804943228003,0.1596015517669301
